"","race","gender","age","income","gunown","guncomfort","time.x","fingerprint","educ","vote","poli","arrest","state","jury","jurycrim","time.y"
"267","White","Female",33,"Less than $10,000","No","Slightly Comfortable",1658340736.98121,"e55940381f5ed020ed477ca19dd64011","Some college","Democratic","Somewhat Liberal","Yes","OH","No","N/A",1658340790.77104
"268","White","Male",26,"$20,000 - $29,999","No","Neither Comfortable nor Uncomfortable",1658340808.7758,"71ba873545ab1fea80d8f341a25ff11a","4 year degree","Democratic","Very Liberal","No","CA","Yes","Yes",1658340835.73565
"269","White","Female",28,"$100,000 - $149,999","No","Slightly Comfortable",1658340849.71857,"a31f74ef9d47e351414aa3f940817a9c","Professional degree","No consistent preference","Middle of the Road","No","AL","No","N/A",1658340873.63132
"270","Asian","Female",31,"$90,000 - $99,999","No","Neither Comfortable nor Uncomfortable",1658340855.25188,"468353e7f040b50d37ba7d5f9f5a0c37","4 year degree","No consistent preference","Middle of the Road","Yes","CA","No","N/A",1658340877.20551
"271","White","Female",62,"$20,000 - $29,999","No","Slightly Comfortable",1658340973.44882,"542d4e07d66965a10f4030f40bc994f7","Professional degree","Democratic","Somewhat Liberal","No","AR","Yes","No",1658341000.51662
"272","White","Female",63,"$100,000 - $149,999","No","Extremely Uncomfortable",1658341227.75333,"9dbb86cd97930b49653aca1bd3043766","4 year degree","Democratic","Somewhat Liberal","Yes","VA","Yes","Yes",1658341280.79157
"273","White","Female",63,"$100,000 - $149,999","No","Extremely Uncomfortable",1658341227.75333,"9dbb86cd97930b49653aca1bd3043766","4 year degree","Democratic","Somewhat Liberal","Yes","VA","Yes","Yes",1658342701.55891
"274","White","Male",34,"$50,000 - $59,999","Yes","Moderately Comfortable",1658341596.92893,"8b7f56867c805d6dc3eb08c092cb6196","4 year degree","Democratic","Somewhat Conservative","Yes","GA","No","No",1658341627.4756
"275","White","Female",39,"$100,000 - $149,999","Yes","Moderately Comfortable",1658341779.92672,"8e0b273fb8a4b5ce84840a363913fb65","4 year degree","No consistent preference","Somewhat Conservative","No","WA","No","N/A",1658341797.08982
"276","White","Female",53,"$80,000 - $89,999","No","Slightly Uncomfortable",1658341953.63573,"a756b1aac5822924e7c48ac9f8398d5e","Professional degree","Democratic","Somewhat Liberal","No","NY","No","N/A",1658341987.57159
"277","White","Male",52,"$100,000 - $149,999","Yes","Extremely Comfortable",1658341976.29204,"3139a9029fa35b9761625736885772bd","Some college","Republican","Somewhat Conservative","Yes","MI","No","N/A",1658342014.29477
"278","White","Male",NA,"$100,000 - $149,999","No","Neither Comfortable nor Uncomfortable",1658341991.27277,"020f5552b80dd6b3544c1b250370d8eb","Professional degree","Democratic","Somewhat Liberal","No","CA","No","N/A",1658342019.3773
"279","White","Male",63,"$30,000 - $39,999","No","Slightly Uncomfortable",1658342041.4976,"77a38c717f9123822c891be4d9fdc9bc","Professional degree","Democratic","Somewhat Liberal","No","CA","No","N/A",1658342066.39627
"280","White","Male",32,"$60,000 - $69,999","No","Moderately Comfortable",1658342061.73756,"ac460854c3914feb2de60ad6f85a150e","4 year degree","Republican","Somewhat Conservative","No","VA","No","N/A",1658342079.85304
"281","White","Female",63,"$100,000 - $149,999","No","Extremely Uncomfortable",1658342621.73194,"9dbb86cd97930b49653aca1bd3043766","4 year degree","Democratic","Somewhat Liberal","Yes","VA","Yes","Yes",1658341280.79157
"282","White","Female",63,"$100,000 - $149,999","No","Extremely Uncomfortable",1658342621.73194,"9dbb86cd97930b49653aca1bd3043766","4 year degree","Democratic","Somewhat Liberal","Yes","VA","Yes","Yes",1658342701.55891
"283","White","Female",63,"$100,000 - $149,999","No","Extremely Uncomfortable",1658342674.61012,"9dbb86cd97930b49653aca1bd3043766","4 year degree","Democratic","Somewhat Liberal","Yes","VA","Yes","Yes",1658341280.79157
"284","White","Female",63,"$100,000 - $149,999","No","Extremely Uncomfortable",1658342674.61012,"9dbb86cd97930b49653aca1bd3043766","4 year degree","Democratic","Somewhat Liberal","Yes","VA","Yes","Yes",1658342701.55891
"285","White","Male",24,"More than $150,000","No","Slightly Uncomfortable",1658343353.38047,"57ea908dc84096f54efcde417a295b2e","4 year degree","Republican","Somewhat Conservative","No","OH","No","N/A",1658343364.42252
"286","White","Male",NA,"$40,000 - $49,999","Yes","Extremely Comfortable",1658343550.77347,"0ca328e56e1d6f48e25b1b9860607b8c","Some college","Republican","Somewhat Conservative","Yes","MO","No","N/A",1658343578.47125
"287","Black or African American","Female",24,"$30,000 - $39,999","No","Slightly Uncomfortable",1658343619.46669,"ad41fd836b709bd7ce1bd4f4f45d43e6","4 year degree","Republican","Somewhat Conservative","Yes","NY","No","N/A",1658343653.20627
"288","White","Male",27,"$100,000 - $149,999","No","Slightly Uncomfortable",1658343652.10212,"bb8ac367fbb10d8e16a95704c2086176","4 year degree","Democratic","Very Liberal","Yes","IL","No","N/A",1658343673.60196
"289","White","Female",47,"More than $150,000","No","Extremely Uncomfortable",1658343739.1481,"6dfeac78e2fa2034207eb040feb6e5e2","4 year degree","Democratic","Very Liberal","No","CA","No","N/A",1658343754.62681
"290","White","Male",24,"$40,000 - $49,999","Yes","Moderately Comfortable",1658343771.53394,"6c639eb3e6b96c220b6d12e32f366525","High school graduate","Republican","Somewhat Conservative","Yes","ID","No","N/A",1658343800.34561
"291","White","Male",28,"$70,000 - $79,999","No","Slightly Uncomfortable",1658343772.81243,"7fde2e18ebd74c7f7db59e71f291b341","Professional degree","Democratic","Very Liberal","No","CA","No","N/A",1658343793.72951
"292","White","Male",49,"$50,000 - $59,999","No","Neither Comfortable nor Uncomfortable",1658343870.9274,"b87649de9d8149158763d1cf1d46d307","Professional degree","No consistent preference","Somewhat Conservative","No","FL","No","N/A",1658343904.872
"293","White","Female",52,"$70,000 - $79,999","Yes","Slightly Uncomfortable",1658344014.42671,"cf863a69646d3749513ca8819c595ac3","Professional degree","Democratic","Very Liberal","No","WA","Yes","Yes",1658344041.6812
"294","White","Other/non-binary",38,"$100,000 - $149,999","No","Extremely Comfortable",1658344254.43618,"f9bf6895e2590714ca1127785b7e9bf1","Some college","No consistent preference","Somewhat Liberal","No","UT","No","N/A",1658344276.71885
"295","White","Male",52,"$30,000 - $39,999","Yes","Moderately Comfortable",1658344271.10142,"5e240d0533a53896f5f755b8ea3ccc85","High school graduate","Democratic","Somewhat Liberal","Yes","CA","No","N/A",1658344302.72659
"296","White","Male",25,"$70,000 - $79,999","No","Slightly Comfortable",1658344317.68467,"1150c7a9de23d40b6c724c02676184f3","4 year degree","No consistent preference","Somewhat Conservative","Yes","KY","No","N/A",1658344339.06763
"297","White","Male",32,"$100,000 - $149,999","Yes","Slightly Comfortable",1658344383.7726,"e8313ee7b3f8c034953bec4cf8bf0a00","4 year degree","Democratic","Very Liberal","Yes","WI","No","N/A",1658344406.65964
"298","White","Female",NA,"$30,000 - $39,999","No","Neither Comfortable nor Uncomfortable",1658344386.69287,"6c53b8241bfca3d436ea3396d5aac8bd","Some college","Democratic","Very Liberal","Yes","KY","Yes","No",1658344434.68496
"299","White","Female",55,"$30,000 - $39,999","No","Slightly Uncomfortable",1658344469.38801,"17b2d405d82c773abeefd12dbb8e27e6","Some college","Republican","Very Conservative","Yes","IL","Yes","Yes",1658344493.18727
"300","White","Male",41,"More than $150,000","No","Slightly Uncomfortable",1658344497.34219,"1a2a7c562430087b5c073380056cac92","4 year degree","No consistent preference","Somewhat Liberal","No","SC","No","N/A",1658344536.12378
"301","White","Male",25,"$90,000 - $99,999","No","Slightly Comfortable",1658345998.14464,"8f3461a7aaf3cbd877a38be6159c18df","4 year degree","Democratic","Very Liberal","Yes","CA","No","N/A",1658346047.77457
"302","White","Male",25,"$90,000 - $99,999","No","Slightly Comfortable",1658345998.14464,"8f3461a7aaf3cbd877a38be6159c18df","4 year degree","Democratic","Very Liberal","Yes","CA","No","N/A",1658346686.43022
"303","White","Female",44,"$100,000 - $149,999","No","Extremely Uncomfortable",1658346136.17203,"fc723a30cb6fea876ae0aa75decedf89","Doctorate","Democratic","Somewhat Liberal","No","GA","No","N/A",1658346158.64359
"304","Black or African American","Male",22,"$90,000 - $99,999","No","Neither Comfortable nor Uncomfortable",1658346181.33673,"c61ff9b41e7f63104e06ee6ac9fcfb9b","2 year degree","No consistent preference","Middle of the Road","Yes","MD","No","N/A",1658346203.09631
"305","White","Male",32,"$80,000 - $89,999","No","Extremely Uncomfortable",1658346318.69469,"0672c63c7b13041cb65ee2c082f543c4","Some college","Democratic","Very Liberal","No","SC","No","N/A",1658346338.69957
"306","Black or African American","Male",39,"$50,000 - $59,999","No","Neither Comfortable nor Uncomfortable",1658346422.91818,"e7717a24b5d9b330b5982e108e2af479","Some college","Democratic","Somewhat Liberal","No","IL","No","N/A",1658346451.59883
"307","White","Male",25,"$90,000 - $99,999","No","Slightly Comfortable",1658346685.41714,"8f3461a7aaf3cbd877a38be6159c18df","4 year degree","Democratic","Very Liberal","Yes","CA","No","N/A",1658346047.77457
"308","White","Male",25,"$90,000 - $99,999","No","Slightly Comfortable",1658346685.41714,"8f3461a7aaf3cbd877a38be6159c18df","4 year degree","Democratic","Very Liberal","Yes","CA","No","N/A",1658346686.43022
"309","White","Female",38,"$60,000 - $69,999","Yes","Slightly Comfortable",1658346804.56399,"0162b11a52343e5544dfaafa1a06ca68","Professional degree","Democratic","Very Liberal","No","PA","No","N/A",1658346828.8378
"310","White","Male",20,"$50,000 - $59,999","No","Slightly Comfortable",1658346871.40536,"b68b6a936136a57998579d26d1cd3ef7","Some college","Democratic","Very Liberal","Yes","OH","No","N/A",1658346892.68469
"312","White","Female",49,"$40,000 - $49,999","Yes","Extremely Comfortable",1658346968.87414,"9f6720058571fdeec8ed65abdc100fd2","2 year degree","Republican","Middle of the Road","No","FL","No","N/A",1658346987.41137
"313","White","Female",64,"$10,000 - $19,999","No","Slightly Uncomfortable",1658347048.80218,"990cf85db0b89429b72372db08e3d70f","2 year degree","Democratic","Somewhat Liberal","No","NY","Yes","Yes",1658347107.08461
"314","White","Male",30,"Less than $10,000","No","Extremely Comfortable",1658347121.24034,"2d849fd098873d50c02da1496ae1bc14","Some college","No consistent preference","Somewhat Conservative","Yes","VA","No","N/A",1658347136.38854
"315","White","Male",NA,"$100,000 - $149,999","Yes","Extremely Comfortable",1658347433.36599,"971908f33186077f5519b65d17ee82f3","4 year degree","Democratic","Very Liberal","No","PA","No","N/A",1658347462.71573
"316","White","Male",NA,"$80,000 - $89,999","No","Extremely Comfortable",1658347460.25345,"449b34a88820deca7a35af5dc2cd6720","Some college","No consistent preference","Middle of the Road","No","LA","No","No",1658347492.44531
"317","Asian","Male",28,"More than $150,000","No","Neither Comfortable nor Uncomfortable",1658347485.03889,"a5774f440c93c0b1e0906e38f9c481cd","Doctorate","No consistent preference","Middle of the Road","Yes","CA","No","N/A",1658347503.2144
"318","White","Male",28,"More than $150,000","Yes","Neither Comfortable nor Uncomfortable",1658347488.9416,"36aadedc5171a7c01494aa426cd485c7","Professional degree","No consistent preference","Somewhat Conservative","No","NC","No","N/A",1658347530.34113
"319","White","Male",38,"$40,000 - $49,999","Yes","Moderately Comfortable",1658347515.38116,"515c93955df6d0d96ddeb72e694b42bf","Professional degree","Democratic","Somewhat Liberal","No","TN","No","N/A",1658347537.55459
"320","Black or African American","Male",58,"$50,000 - $59,999","No","Slightly Uncomfortable",1658347616.81422,"149f4624ccba37724fd2a4cf92abeb76","2 year degree","Republican","Somewhat Conservative","No","GA","No","N/A",1658347657.33661
"321","White","Male",35,"$100,000 - $149,999","Yes","Slightly Uncomfortable",1658348229.14293,"df5b29f1114f623900234a7d4941e0ce","Professional degree","Democratic","Somewhat Liberal","No","MI","No","N/A",1658348248.17517
"322","White","Female",44,"$100,000 - $149,999","No","Slightly Uncomfortable",1658348247.15771,"609422e9d3254f6bd03046a61803f861","Some college","Democratic","Somewhat Liberal","No","TX","No","N/A",1658348281.03112
"323","White","Female",44,"$100,000 - $149,999","No","Slightly Uncomfortable",1658348247.15771,"609422e9d3254f6bd03046a61803f861","Some college","Democratic","Somewhat Liberal","No","TX","No","N/A",1658348673.05611
"324","White","Male",23,"$70,000 - $79,999","No","Slightly Comfortable",1658348309.32505,"e4eeb431cb89e240916812773e49bb0f","4 year degree","No consistent preference","Middle of the Road","Yes","WI","No","N/A",1658348324.61244
"325","White, Hispanic","Male",24,"More than $150,000","No","Slightly Uncomfortable",1658348452.52488,"19980704e9cdf67839f5c88de80e0ac1","4 year degree","Democratic","Somewhat Liberal","No","NJ","No","N/A",1658348477.75253
"326","White","Male",33,"$10,000 - $19,999","No","Slightly Uncomfortable",1658348617.66479,"a10e99d71293f21b68ba76adc7c11181","High school graduate","Democratic","Very Liberal","No","NY","No","N/A",1658348637.14519
"327","White","Female",44,"$100,000 - $149,999","No","Slightly Uncomfortable",1658348649.88974,"609422e9d3254f6bd03046a61803f861","Some college","Democratic","Somewhat Liberal","No","TX","No","N/A",1658348281.03112
"328","White","Female",44,"$100,000 - $149,999","No","Slightly Uncomfortable",1658348649.88974,"609422e9d3254f6bd03046a61803f861","Some college","Democratic","Somewhat Liberal","No","TX","No","N/A",1658348673.05611
"329","Asian","Female",NA,"$50,000 - $59,999","No","Extremely Uncomfortable",1658348686.83589,"43e86767a747686484de93dd0460ec91","4 year degree","Democratic","Somewhat Liberal","No","NY","No","N/A",1658348715.48026
"330","White","Female",54,"$40,000 - $49,999","No","Slightly Comfortable",1658348798.08553,"4ba4ccc47d0a2b7c6a454f7055410c06","Some college","Democratic","Somewhat Liberal","Yes","PA","No","N/A",1658348830.85386
"331","White","Male",47,"$40,000 - $49,999","No","Slightly Uncomfortable",1658348809.24713,"1e8de4d8f70c1134f4c9315ab41b2b9e","4 year degree","Democratic","Somewhat Liberal","No","TX","No","N/A",1658348837.76809
"332","White","Female",57,"$40,000 - $49,999","No","Extremely Comfortable",1658348883.91584,"12fbc05a5acbf8efadbc5b8d727b9487","4 year degree","Democratic","Somewhat Liberal","No","TX","No","N/A",1658348922.54137
"333","White","Male",19,"$100,000 - $149,999","No","Slightly Comfortable",1658348906.71606,"4195de8618f2343d139487e292fb23a3","High school graduate","No consistent preference","Somewhat Conservative","No","PA","No","N/A",1658348928.09143
"334","White","Female",38,"$50,000 - $59,999","No","Slightly Comfortable",1658349897.46956,"45b0d9da10b73d21e91f3dfd3380fd75","4 year degree","Democratic","Very Liberal","No","MO","No","N/A",1658349914.1076
"335","White, Hispanic","Male",33,"$100,000 - $149,999","No","Extremely Uncomfortable",1658349925.46775,"e257b1184bc541a26d4d3034a7705608","Professional degree","Democratic","Very Liberal","No","CA","No","N/A",1658349941.39403
"336","White","Male",26,"Less than $10,000","No","Neither Comfortable nor Uncomfortable",1658349942.97173,"6afb45e54fb72d5860b7a6c104b17a2c","4 year degree","No consistent preference","Middle of the Road","No","GA","No","N/A",1658349962.59672
"337","White","Male",45,"$30,000 - $39,999","No","Slightly Uncomfortable",1658350022.45885,"78a9a22934d18372535c9598e134b2a2","Less than high school","Democratic","Somewhat Liberal","Yes","AZ","No","N/A",1658350054.63043
"338","White","Male",35,"$30,000 - $39,999","Yes","Moderately Comfortable",1658350060.03874,"de4e63d0b6ae497820f539ea82ac9b6c","Some college","No consistent preference","Very Liberal","No","TX","No","N/A",1658350080.67536
"339","White","Female",38,"$100,000 - $149,999","Yes","Moderately Comfortable",1658350191.97001,"e2071980cb5eb873da60aaf511abff95","4 year degree","Democratic","Very Liberal","Yes","LA","No","N/A",1658350216.10049
"340","White","Male",NA,"$90,000 - $99,999","Yes","Moderately Comfortable",1658350285.79462,"47b211f220e4706d17945cd561498084","Professional degree","Republican","Somewhat Conservative","No","CA","Yes","N/A",1658350313.86433
"341","White","Male",45,"$50,000 - $59,999","No","Neither Comfortable nor Uncomfortable",1658350289.99508,"aa2a21373f3ee60d3bd4657c5edba678","2 year degree","Democratic","Very Liberal","No","WI","No","N/A",1658350330.94836
"342","White","Male",27,"$40,000 - $49,999","No","Neither Comfortable nor Uncomfortable",1658350459.05506,"1046242071fcecc9792cef78226c62c9","Some college","No consistent preference","Very Liberal","No","CA","No","N/A",1658350487.26809
"343","White","Male",36,"More than $150,000","No","Neither Comfortable nor Uncomfortable",1658351409.53578,"a0fc4dcc062abb2ec5860928e04c6313","4 year degree","Democratic","Somewhat Liberal","Yes","TN","Yes","Yes",1658351426.61352
"344","White","Female",49,"$70,000 - $79,999","No","Slightly Comfortable",1658351651.75971,"5134989ade00655f0006022ead66ff9f","Some college","Democratic","Somewhat Liberal","Yes","MN","No","N/A",1658351692.21279
"345","Black or African American","Male",34,"$70,000 - $79,999","No","Neither Comfortable nor Uncomfortable",1658351752.48386,"1d5e7e29784263d5014bc4dd6ab50aa6","Professional degree","Democratic","Somewhat Liberal","Yes","PA","No","N/A",1658351782.47096
"346","White","Male",18,"$60,000 - $69,999","No","Extremely Comfortable",1658351794.54912,"1b54c94ca08a766984ac0c8ea064c20b","High school graduate","Democratic","Somewhat Liberal","No","PA","No","N/A",1658351815.78516
"347","White","Male",51,"$40,000 - $49,999","Yes","Extremely Comfortable",1658351806.59641,"aaad065f4d653133760c3091a1447d9e","4 year degree","Democratic","Very Liberal","No","ID","No","N/A",1658351838.53577
"348","White","Female",55,"$90,000 - $99,999","No","Neither Comfortable nor Uncomfortable",1658352530.24367,"fd3661152476f34664a9de80cab112d4","2 year degree","Republican","Somewhat Conservative","No","CA","No","No",1658352554.18202
"349","Asian","Male",29,"$60,000 - $69,999","No","Moderately Comfortable",1658352615.61333,"b3feae6f96f032a44f3fc9fcfb90b57d","4 year degree","Democratic","Somewhat Liberal","No","WA","No","N/A",1658352842.73765
"350","White","Female",46,"$70,000 - $79,999","No","Slightly Comfortable",1658352661.30689,"5f12dc8d208df8bdb4ec370759b22517","Some college","Democratic","Somewhat Liberal","No","OR","No","N/A",1658352689.57156
"351","White","Female",64,"$90,000 - $99,999","No","Slightly Comfortable",1658352908.86647,"d7f1d5636ae0d1df5e122c3e158ca8ef","Some college","Democratic","Very Liberal","No","CA","Yes","Yes",1658352937.95981
"352","White","Female",49,"$10,000 - $19,999","Yes","Moderately Comfortable",1658353118.31233,"106681079847a7f5225e3e90a0f369d1","Some college","Democratic","Very Liberal","No","NC","No","N/A",1658353156.93661
"353","White","Female",61,"Less than $10,000","No","Slightly Uncomfortable",1658353260.86722,"f21f1573b40fd5855956a964088b88eb","2 year degree","Democratic","Somewhat Liberal","No","IA","No","N/A",1658353385.02735
"354","White","Female",48,"$100,000 - $149,999","No","Neither Comfortable nor Uncomfortable",1658353364.93596,"aa364e9c0626ee8850e2b35182ea27b6","4 year degree","Democratic","Somewhat Liberal","Yes","TX","Yes","No",1658353425.01565
"355","White","Male",23,"$50,000 - $59,999","No","Slightly Comfortable",1658353471.63982,"f569b4252049d94988cdcabc2b7157c8","Professional degree","No consistent preference","Somewhat Liberal","Yes","AZ","No","N/A",1658353493.06697
"356","White","Male",36,"$100,000 - $149,999","No","Slightly Uncomfortable",1658353623.1126,"214714ba076ba5bcb33ad6ea98ee982d","Professional degree","Democratic","Very Liberal","Yes","NC","Yes","Yes",1658353667.57108
"357","White","Male",27,"$50,000 - $59,999","No","Neither Comfortable nor Uncomfortable",1658353758.76828,"75ff42afbcc4320314ee284296f18a20","4 year degree","Republican","Somewhat Conservative","Yes","NY","No","N/A",1658353795.86696
"358","White","Male",25,"$50,000 - $59,999","No","Neither Comfortable nor Uncomfortable",1658353837.84432,"a7c99ac1cb59436f7ab3754ab7fd2d6f","4 year degree","Democratic","Somewhat Liberal","No","CO","No","N/A",1658353859.46627
"359","Black or African American","Male",34,"$30,000 - $39,999","No","Extremely Comfortable",1658354093.14775,"d47b162c705de2474150e3bd07000366","High school graduate","Republican","Very Liberal","Yes","WI","No","N/A",1658354160.12437
"360","White","Male",27,"$50,000 - $59,999","No","Neither Comfortable nor Uncomfortable",1658354558.87339,"0fb351b19355bf3b86d82d0e40e75fdf","4 year degree","Republican","Somewhat Conservative","Yes","NY","No","N/A",1658354578.88162
"361","White","Male",21,"$40,000 - $49,999","Yes","Extremely Comfortable",1658354871.45108,"8c587059c77f94a28c592d8ba132a8ab","Some college","No consistent preference","Middle of the Road","No","MT","No","N/A",1658354900.5959
"362","White","Female",58,"More than $150,000","No","Extremely Uncomfortable",1658354933.53603,"943ad902f437868979f3831b1864eaea","4 year degree","Republican","Very Conservative","No","NJ","Yes","Yes",1658354983.4067
"363","White, American Indian or Alaska Native","Male",19,"$100,000 - $149,999","No","Extremely Comfortable",1658355221.98787,"80bb3c988f2b1d77957d1fb2e867035c","Some college","Republican","Somewhat Conservative","No","PA","No","N/A",1658355244.06419
"364","White","Male",50,"$10,000 - $19,999","No","Slightly Uncomfortable",1658355222.92686,"b58a5c4db37319da44a9edc476a1e980","Some college","Democratic","Somewhat Liberal","Yes","OR","No","N/A",1658355257.73101
"365","Hispanic","Male",21,"$50,000 - $59,999","No","Neither Comfortable nor Uncomfortable",1658355324.07706,"4564ce4f2dd1abe108237dcf95889e36","High school graduate","No consistent preference","Very Liberal","No","TX","No","N/A",1658355399.94276
"366","White","Female",61,"$40,000 - $49,999","No","Moderately Comfortable",1658355530.2169,"ea0a2a7edd3680d583f834162b5ee89f","4 year degree","Republican","Very Conservative","No","IN","No","N/A",1658355556.61434
"367","White","Male",39,"$90,000 - $99,999","No","Moderately Comfortable",1658355756.95273,"e2f56297dbb129f02513af49f4a35a79","4 year degree","Republican","Middle of the Road","Yes","NJ","Yes","Yes",1658355801.10017
"368","White","Female",57,"$100,000 - $149,999","No","Extremely Uncomfortable",1658355798.49658,"04728bd3d9d94017920e807f240ff339","High school graduate","Republican","Middle of the Road","Yes","GA","No","N/A",1658355823.0677
"369","White","Male",50,"$20,000 - $29,999","No","Moderately Comfortable",1658355816.07837,"d9023adbc0ea01940065a650e142bd60","4 year degree","Democratic","Somewhat Liberal","No","IN","No","N/A",1658355881.20001
"370","White","Female",47,"$90,000 - $99,999","No","Neither Comfortable nor Uncomfortable",1658355908.77894,"9a66249b836097cd2ed1f4a64ca44471","Professional degree","No consistent preference","Middle of the Road","No","DE","No","N/A",1658355940.76109
"371","White","Female",51,"$100,000 - $149,999","Yes","Neither Comfortable nor Uncomfortable",1658355939.56926,"470eb8bfc52fbae92bdcf20a5ee8249b","4 year degree","Democratic","Very Liberal","No","WA","No","N/A",1658355958.98291
"372","White","Male",43,"$50,000 - $59,999","No","Neither Comfortable nor Uncomfortable",1658356050.04495,"9515f75d3676abf5ac48a9c866646dad","2 year degree","Democratic","Very Liberal","No","MN","No","N/A",1658356099.80675
"373","Black or African American","Male",64,"$50,000 - $59,999","No","Neither Comfortable nor Uncomfortable",1658356058.34721,"9eb873fc99b32df458f20525b9edd5e2","4 year degree","Democratic","Middle of the Road","No","MI","No","N/A",1658356092.06536
"374","White","Male",44,"$70,000 - $79,999","Yes","Moderately Comfortable",1658357362.84208,"9a6e6cbfefe44f26ece8507b06a96a37","4 year degree","Democratic","Somewhat Liberal","Yes","VA","Yes","Yes",1658357392.45959
"375","White","Female",44,"$100,000 - $149,999","No","Slightly Uncomfortable",1658357377.54187,"7ba3e24609e4c624207d11832ed10502","Professional degree","Democratic","Somewhat Liberal","Yes","WA","No","N/A",1658357400.97151
"376","Black or African American","Female",24,"$70,000 - $79,999","No","Extremely Uncomfortable",1658357756.59913,"2d1f57308a26ad18c93d9d710a86c456","Some college","No consistent preference","Middle of the Road","No","IN","No","N/A",1658357787.62734
"377","Black or African American","Male",32,"$50,000 - $59,999","No","Neither Comfortable nor Uncomfortable",1658358035.47612,"34ca35931b5134ee1631e980e2ffd72c","4 year degree","No consistent preference","Middle of the Road","No","MD","Yes","Yes",1658358078.66003
"378","Asian","Male",53,"More than $150,000","No","Slightly Comfortable",1658358095.7158,"1ae7b812a51566134cb5994be40f9ddf","4 year degree","Democratic","Somewhat Liberal","No","GA","No","N/A",1658358126.35215
"379","Black or African American, Hispanic","Female",22,"$50,000 - $59,999","No","Slightly Uncomfortable",1658358214.04119,"50233134d6ebeeadc7d02e1beb20c095","4 year degree","Democratic","Very Liberal","No","MI","No","No",1658358236.04895
"380","Black or African American","Male",30,"Less than $10,000","No","Slightly Uncomfortable",1658358285.0312,"353d2d29b6bd40183f5f30af9bb8ed5b","Less than high school","No consistent preference","Middle of the Road","Yes","IL","No","N/A",1658358447.71925
"381","White","Female",46,"$90,000 - $99,999","No","Neither Comfortable nor Uncomfortable",1658358371.66633,"b32867041d9c0b8d5a2102b45b2cf89f","Some college","Democratic","Very Liberal","No","IL","No","N/A",1658358395.96341
"382","Black or African American","Female",52,"$40,000 - $49,999","No","Extremely Uncomfortable",1658358709.2658,"c8d2e9f86168486338c7a66bc9075be4","4 year degree","Democratic","Somewhat Liberal","No","VA","No","N/A",1658358747.99087
"383","Black or African American","Female",30,"$40,000 - $49,999","No","Extremely Uncomfortable",1658358711.17872,"887522c818321755ffffd308a21bb9d0","4 year degree","Democratic","Very Liberal","No","GA","No","N/A",1658358733.03348
"384","White","Female",63,"$30,000 - $39,999","No","Moderately Comfortable",1658358768.99278,"c1ad0269a2b60aef540446efe0c72f03","2 year degree","Republican","Somewhat Liberal","Yes","AL","No","N/A",1658358809.90688
"385","Asian","Male",54,"More than $150,000","No","Slightly Comfortable",1658360087.92505,"1b2be54363a508f0bbf4db90df852c1e","4 year degree","Democratic","Somewhat Liberal","No","CA","Yes","No",1658360110.84346
"386","Hispanic","Female",42,"More than $150,000","No","Moderately Comfortable",1658360372.69507,"2ef68a62aa632b33a8aaa15e20462a7c","Professional degree","Democratic","Somewhat Liberal","No","CA","No","N/A",1658360399.18134
"387","Asian","Male",37,"$20,000 - $29,999","No","Neither Comfortable nor Uncomfortable",1658360382.12588,"3c42c0eafe70e37c06ee39b4bfb71413","4 year degree","Democratic","Somewhat Liberal","No","CA","No","N/A",1658360417.07976
"388","Hispanic","Female",59,"$10,000 - $19,999","No","Slightly Uncomfortable",1658360447.42919,"c9a9c6d11346bb3bf2ab4d64da58d2f3","4 year degree","No consistent preference","Somewhat Liberal","No","AR","No","N/A",1658360493.49026
"389","Asian","Female",NA,"$60,000 - $69,999","No","Slightly Uncomfortable",1658360660.17683,"901b3f1ca9cff2ff2c72a6201b3ff757","Doctorate","Democratic","Somewhat Liberal","No","IN","No","N/A",1658360685.0755
"390","White","Male",49,"$100,000 - $149,999","Yes","Extremely Comfortable",1658360705.1065,"2f68e4e037a32d63270e83253d954e97","2 year degree","No consistent preference","Middle of the Road","No","FL","Yes","Yes",1658360744.96507
"391","White","Female",59,"$80,000 - $89,999","No","Slightly Comfortable",1658360734.40296,"341b6761f3b9569593b5299db24b04c9","Some college","Democratic","Middle of the Road","No","CA","Yes","Yes",1658360795.97209
"392","White","Female",40,"$100,000 - $149,999","No","Slightly Comfortable",1658361860.56517,"4d4a9f7a25fc99608fed934207398498","Professional degree","Republican","Middle of the Road","Yes","TN","No","N/A",1658361884.69747
"393","Black or African American","Female",26,"$40,000 - $49,999","Yes","Moderately Comfortable",1658362053.59796,"e35f72b4184ba7b960613bc8c9b8cddf","2 year degree","No consistent preference","Very Liberal","No","AL","No","N/A",1658362073.75945
"394","White","Female",72,"$60,000 - $69,999","No","Neither Comfortable nor Uncomfortable",1658362077.1703,"2a6709ab950c1fec6d8e2d33357af9f2","Professional degree","Democratic","Somewhat Liberal","No","MN","Yes","No",1658362114.47699
"395","White","Female",40,"$20,000 - $29,999","Yes","Slightly Uncomfortable",1658362129.4972,"d058e0832681fbc62b3f239d1c1a21e2","Some college","Democratic","Middle of the Road","No","VT","No","N/A",1658362154.36721
"396","White","Male",71,"$30,000 - $39,999","No","Extremely Comfortable",1658362171.31831,"74a6bb7d74b6f18db00ea2d70401adf5","4 year degree","Republican","Very Conservative","No","MD","No","N/A",1658362204.19586
